Id,CIF,Entidad_Norm,Provincia_Entidad,ID_ENTIDAD,NIF_COD,ACRONIMO,NOMBRE_ENTIDAD,Nombre_Entidad_Mostrar,TIPO_ENTIDAD_N1_1,TIPO_ENTIDAD_N2_1,DIRECCION_POSTAL,COD_POSTAL,COD_PROVINCIA,PROVINCIA,COD_CCAA,CCAA,ENLACE_WEB,SOMMA,TIPO_ENTIDAD_REGIONAL,ESTADO_x,CodigoInvente,DenominacionSocial,FormaJuridica_Codigo,FormaJuridica_Descripcion,NIF,codigoDir3,codigoOrigen,Provincia_Codigo,C_ID_UD_ORGANICA,C_DNM_UD_ORGANICA,C_ID_NIVEL_ADMON,C_ID_TIPO_ENT_PUBLICA,N_NIVEL_JERARQUICO,C_ID_DEP_UD_SUPERIOR,C_DNM_UD_ORGANICA_SUPERIOR,C_ID_DEP_UD_PRINCIPAL,C_DNM_UD_ORGANICA_PRINCIPAL,B_SW_DEP_EDP_PRINCIPAL,C_ID_DEP_EDP_PRINCIPAL,C_DNM_UD_ORGANICA_EDP_PRINCIPAL,C_ID_ESTADO,D_VIG_ALTA_OFICIAL,NIF_CIF,C_ID_AMB_PROVINCIA,C_DESC_PROV,CONTACTOS,List_Entidad_Norm,List_Provincia_Entidad,List_CIF
2668,A36924140,marine instruments sa,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['marine instruments sa'],[36],['A36924140']
4782,B10398931,controla energia sl,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['controla energia sl'],[10],['B10398931']
4589,A58567918,optral s a,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['optral s a'],[8],['A58567918']
3515,A39074877,apia xxi s a,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['apia xxi s a'],[39],['A39074877']
2891,A41204223,gabinete de iniciativas europeas s a,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['gabinete de iniciativas europeas s a'],[41],['A41204223']
7281,B47485859,legaris sl,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['legaris sl'],[47],['B47485859']
2635,R0600001B,arzobispado merida badajoz archivos eclesiasticos,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['arzobispado merida badajoz archivos eclesiasticos'],[6],['R0600001B']
547,S4600111A,val space consortium,46,552,S4600111A,VSC,CONSORCIO ESPACIAL VALENCIANO VAL SPACE CONSORTIUM VSC,Val Space Consortium,Organismo de I+D Regional,Centro/Instituto mixto,"Camino de Vera, s/n, Ciudad Politécnica de la Innovación,",46022,46,Valencia/València,10,Comunitat Valenciana,https://www.val-space.com/es/,,,ACTIVO,,,,,,,,,,,,,,,,,,,,,,,,,,,"['val space consortium', 'consorcio espacial valenciano val space consortium vsc']",[46],['S4600111A']
352,,instituto de agricultura sostenible,14,356,,IAS,INSTITUTO DE AGRICULTURA SOSTENIBLE,Instituto de Agricultura Sostenible,Centro de Investigación,Centro/Instituto propio,"Avenida Menéndez Pidal s/n, Campus Alameda del Obispo",14080,14,Córdoba,1,Andalucía,https://www.ias.csic.es/,,,ACTIVO,,,,,,,,,,,,,,,,,,,,,,,,,,,['instituto de agricultura sostenible'],[14],[]
8193,B57780959,sciware systems s l,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['sciware systems s l', 'sciware systems sl']",[7],['B57780959']
5328,P4801700H,ayuntamiento de barakaldo,48,,,,,,,,,,,,,,,,,,,,,,,,,,L01480139,Ayuntamiento de Barakaldo,3,AY,1,LA9999999,Entidades Locales,L01480139,Ayuntamiento de Barakaldo,N,NaN,NaN,V,NaN,P4801700H,"48,0000",Bizkaia,haz-sac@barakaldo.eus,['ayuntamiento de barakaldo'],[48],['P4801700H']
